"Estacion","Alcaldia"
"ARAGON","GUSTAVO A. MADEROVENUSTIANO CARRANZA"
"EDUARDO MOLINA","GUSTAVO A. MADEROVENUSTIANO CARRANZA"
"CONSULADO","GUSTAVO A. MADEROVENUSTIANO CARRANZA"
"VALLE GOMEZ","GUSTAVO A. MADEROVENUSTIANO CARRANZA"
"MISTERIOS","GUSTAVO A. MADEROVENUSTIANO CARRANZA"
"LA RAZA","GUSTAVO A. MADERO"
"AUTOBUSES DEL NORTE","GUSTAVO A. MADERO"
"INSTITUTO DEL PETROLEO","GUSTAVO A. MADERO"
"POLITECNICO","GUSTAVO A. MADERO"
"EL ROSARIO","AZCAPOTZALCO"
"TEZOZOMOC","AZCAPOTZALCO"
"UAM-AZCAPOTZALCO","AZCAPOTZALCO"
"FERRERIA/ARENA CIUDAD DE MEXICO","AZCAPOTZALCO"
"NORTE 45","AZCAPOTZALCO"
"VALLEJO","AZCAPOTZALCO"
"INSTITUTO DEL PETROLEO","GUSTAVO A. MADERO"
"LINDAVISTA","GUSTAVO A. MADERO"
"DEPORTIVO 18 DE MARZO","GUSTAVO A. MADERO"
"LA VILLA-BASILICA","GUSTAVO A. MADERO"
"MARTIN CARRERA","GUSTAVO A. MADERO"
"EL ROSARIO","AZCAPOTZALCO"
"AQUILES SERDAN","AZCAPOTZALCO"
"CAMARONES","AZCAPOTZALCO"
"REFINERIA","AZCAPOTZALCO"
"TACUBA","MIGUEL HIDALGO"
"SAN JOAQUIN","MIGUEL HIDALGO"
"POLANCO","MIGUEL HIDALGO"
"AUDITORIO","MIGUEL HIDALGO"
"CONSTITUYENTES","MIGUEL HIDALGO"
"TACUBAYA","MIGUEL HIDALGO"
"SAN PEDRO DE LOS PINOS","BENITO JUAREZ"
"SAN ANTONIO","BENITO JUAREZ"
"MIXCOAC","BENITO JUAREZ"
"BARRANCA DEL MUERTO","BENITO JUAREZ"
"GARIBALDI-LAGUNILLA","CUAUHTEMOC"
"BELLAS ARTES","CUAUHTEMOC"
"SAN JUAN DE LETRAN","CUAUHTEMOC"
"SALTO DEL AGUA","CUAUHTEMOC"
"DOCTORES","CUAUHTEMOC"
"OBRERA","CUAUHTEMOC"
"CHABACANO","CUAUHTEMOC"
"LA VIGA","VENUSTIANO CARRANZA"
"SANTA ANITA","IZTACALCO"
"COYUYA","IZTACALCO"
"IZTACALCO","IZTACALCO"
"APATLACO","IZTAPALAPA"
"ACULCO","IZTAPALAPA"
"ESCUADRON 201","IZTAPALAPA"
"ATLALILCO","IZTAPALAPA"
"IZTAPALAPA","IZTAPALAPA"
"CERRO DE LA ESTRELLA","IZTAPALAPA"
"UAM-I","IZTAPALAPA"
"CONSTITUCION DE 1917","IZTAPALAPA"
"PANTITLAN","IZTACALCO"
"PUEBLA","VENUSTIANO CARRANZAIZTACALCO"
"CIUDAD DEPORTIVA","VENUSTIANO CARRANZAIZTACALCO"
"VELODROMO","VENUSTIANO CARRANZA"
"MIXIUHCA","VENUSTIANO CARRANZA"
"JAMAICA","VENUSTIANO CARRANZA"
"CHABACANO","CUAUHTEMOC"
"LAZARO CARDENAS","CUAUHTEMOC"
"CENTRO MEDICO","CUAUHTEMOC"
"CHILPANCINGO","CUAUHTEMOC"
"PATRIOTISMO","CUAUHTEMOC"
"TACUBAYA","MIGUEL HIDALGO"
"PANTITLAN","IZTACALCO"
"AGRICOLA ORIENTAL","IZTACALCO"
"CANAL DE SAN JUAN","IZTACALCO"
"TEPALCATES","IZTAPALAPA"
"GUELATAO","IZTAPALAPA"
"PENON VIEJO","IZTAPALAPA"
"ACATITLA","IZTAPALAPA"
"SANTA MARTA","IZTAPALAPA"
"LOS REYES","LOS REYES LA PAZ"
"LA PAZ","LOS REYES LA PAZ"
"BUENAVISTA","CUAUHTEMOC"
"GUERRERO","CUAUHTEMOC"
"GARIBALDI-LAGUNILLA","CUAUHTEMOC"
"LAGUNILLA","CUAUHTEMOC"
"TEPITO","CUAUHTEMOC"
"MORELOS","VENUSTIANO CARRANZA"
"SAN LAZARO","VENUSTIANO CARRANZA"
"RICARDO FLORES MAGON","VENUSTIANO CARRANZA"
"ROMERO RUBIO","VENUSTIANO CARRANZA"
"OCEANIA","GUSTAVO A. MADERO"
"DEPORTIVO OCEANIA","GUSTAVO A. MADERO"
"BOSQUE DE ARAGON","GUSTAVO A. MADERO"
"VILLA DE ARAGON","GUSTAVO A. MADERO"
"NEZAHUALCOYOTL","NEZAHUALCOYOTL"
"IMPULSORA","NEZAHUALCOYOTL"
"RIO DE LOS REMEDIOS","NEZAHUALCOYOTL"
"MUZQUIZ","ECATEPEC DE MORELOS"
"ECATEPEC","ECATEPEC DE MORELOS"
"OLIMPICA","ECATEPEC DE MORELOS"
"PLAZA ARAGON","ECATEPEC DE MORELOS"
"CIUDAD AZTECA","ECATEPEC DE MORELOS"
"TLAHUAC","TLAHUAC"
"TLALTENCO","TLAHUAC"
"ZAPOTITLAN","TLAHUAC"
"NOPALERA","TLAHUAC"
"OLIVOS","TLAHUAC"
"TEZONCO","IZTAPALAPA"
"PERIFERICO ORIENTE","IZTAPALAPA"
"CALLE 11","IZTAPALAPA"
"LOMAS ESTRELLA","IZTAPALAPA"
"SAN ANDRES TOMATLAN","IZTAPALAPA"
"CULHUACAN","IZTAPALAPA"
"ATLALILCO","IZTAPALAPA"
"MEXICALTZINGO","IZTAPALAPA"
"ERMITA","BENITO JUAREZ"
"EJE CENTRAL","BENITO JUAREZ"
"PARQUE DE LOS VENADOS","BENITO JUAREZ"
"ZAPATA","BENITO JUAREZ"
"HOSPITAL 20 DE NOVIEMBRE","BENITO JUAREZ"
"INSURGENTES SUR","BENITO JUAREZ"
"MIXCOAC","BENITO JUAREZ"
